Date,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
8/5/2004,29,,Lancaster-Division Street,06-037-9033,AQS
8/6/2004,26,,Lancaster-Division Street,06-037-9033,AQS
8/7/2004,45,,Azusa,06-037-0002,AQS
8/8/2004,24,,Lancaster-Division Street,06-037-9033,AQS
8/9/2004,28,,Lancaster-Division Street,06-037-9033,AQS
8/10/2004,24,,Lancaster-Division Street,06-037-9033,AQS
8/11/2004,29,,Lancaster-Division Street,06-037-9033,AQS
8/12/2004,30,,Lancaster-Division Street,06-037-9033,AQS
8/13/2004,43,,Santa Clarita,06-037-6012,AQS
8/14/2004,32,,Lancaster-Division Street,06-037-9033,AQS
8/15/2004,25,,Lancaster-Division Street,06-037-9033,AQS
8/16/2004,29,,Lancaster-Division Street,06-037-9033,AQS
8/17/2004,30,,Lancaster-Division Street,06-037-9033,AQS
8/18/2004,29,,Lancaster-Division Street,06-037-9033,AQS
8/19/2004,33,,Azusa,06-037-0002,AQS
8/20/2004,23,,Lancaster-Division Street,06-037-9033,AQS
8/21/2004,27,,Lancaster-Division Street,06-037-9033,AQS
8/22/2004,16,,Lancaster-Division Street,06-037-9033,AQS
8/23/2004,18,,Lancaster-Division Street,06-037-9033,AQS
8/24/2004,20,,Lancaster-Division Street,06-037-9033,AQS
8/25/2004,34,,Santa Clarita,06-037-6012,AQS
8/26/2004,28,,Lancaster-Division Street,06-037-9033,AQS
8/27/2004,37,,Lancaster-Division Street,06-037-9033,AQS
8/28/2004,32,,Lancaster-Division Street,06-037-9033,AQS
8/29/2004,22,,Lancaster-Division Street,06-037-9033,AQS
8/30/2004,29,,Lancaster-Division Street,06-037-9033,AQS
8/31/2004,53,,Azusa,06-037-0002,AQS
9/1/2004,33,,Lancaster-Division Street,06-037-9033,AQS
9/2/2004,30,,Lancaster-Division Street,06-037-9033,AQS
9/3/2004,57,,Lancaster-Division Street,06-037-9033,AQS
9/4/2004,40,,Lancaster-Division Street,06-037-9033,AQS
9/5/2004,23,,Lancaster-Division Street,06-037-9033,AQS
9/6/2004,39,,Santa Clarita,06-037-6012,AQS
9/7/2004,39,,Lancaster-Division Street,06-037-9033,AQS
9/8/2004,38,,Lancaster-Division Street,06-037-9033,AQS
9/9/2004,33,,Lancaster-Division Street,06-037-9033,AQS
9/10/2004,31,,Lancaster-Division Street,06-037-9033,AQS
9/11/2004,29,,Lancaster-Division Street,06-037-9033,AQS
9/12/2004,34,,Azusa,06-037-0002,AQS
9/13/2004,45,,Lancaster-Division Street,06-037-9033,AQS
9/14/2004,34,,Lancaster-Division Street,06-037-9033,AQS
9/15/2004,38,,Lancaster-Division Street,06-037-9033,AQS
9/16/2004,32,,Lancaster-Division Street,06-037-9033,AQS
9/17/2004,31,,Lancaster-Division Street,06-037-9033,AQS
9/18/2004,37,,Azusa,06-037-0002,AQS
9/19/2004,20,,Lancaster-Division Street,06-037-9033,AQS
9/20/2004,30,,Lancaster-Division Street,06-037-9033,AQS
9/21/2004,19,,Lancaster-Division Street,06-037-9033,AQS
9/22/2004,28,,Lancaster-Division Street,06-037-9033,AQS
9/23/2004,34,,Lancaster-Division Street,06-037-9033,AQS
9/24/2004,51,,Lancaster-Division Street,06-037-9033,AQS
9/25/2004,25,,Lancaster-Division Street,06-037-9033,AQS
9/26/2004,27,,Lancaster-Division Street,06-037-9033,AQS
9/27/2004,23,,Lancaster-Division Street,06-037-9033,AQS
9/28/2004,29,,Lancaster-Division Street,06-037-9033,AQS
9/29/2004,33,,Lancaster-Division Street,06-037-9033,AQS
9/30/2004,28,,Santa Clarita,06-037-6012,AQS
10/3/2004,36,,Long Beach (North),06-037-4002,AQS
10/4/2004,25,,Lancaster-Division Street,06-037-9033,AQS
10/5/2004,30,,Lancaster-Division Street,06-037-9033,AQS
10/6/2004,65,,Azusa,06-037-0002,AQS
10/7/2004,37,,Lancaster-Division Street,06-037-9033,AQS
10/8/2004,39,,Lancaster-Division Street,06-037-9033,AQS
10/9/2004,35,,Lancaster-Division Street,06-037-9033,AQS
10/10/2004,23,,Lancaster-Division Street,06-037-9033,AQS
10/11/2004,51,,Lancaster-Division Street,06-037-9033,AQS
10/12/2004,53,,Long Beach (South),06-037-4004,AQS
10/13/2004,25,,Lancaster-Division Street,06-037-9033,AQS
10/14/2004,37,,Lancaster-Division Street,06-037-9033,AQS
10/15/2004,46,,Long Beach (North),06-037-4002,AQS
10/16/2004,63,,Lancaster-Division Street,06-037-9033,AQS
10/17/2004,7,,Lancaster-Division Street,06-037-9033,AQS
10/18/2004,17,,Burbank,06-037-1002,AQS
10/19/2004,6,,Lancaster-Division Street,06-037-9033,AQS
10/20/2004,3,,Lancaster-Division Street,06-037-9033,AQS
10/21/2004,7,,Lancaster-Division Street,06-037-9033,AQS
10/22/2004,11,,Lancaster-Division Street,06-037-9033,AQS
10/23/2004,17,,Lancaster-Division Street,06-037-9033,AQS
10/24/2004,31,,Burbank,06-037-1002,AQS
10/25/2004,13,,Lancaster-Division Street,06-037-9033,AQS
10/26/2004,10,,Lancaster-Division Street,06-037-9033,AQS
10/27/2004,3,,Lancaster-Division Street,06-037-9033,AQS
10/28/2004,6,,Lancaster-Division Street,06-037-9033,AQS
10/29/2004,11,,Lancaster-Division Street,06-037-9033,AQS
10/30/2004,44,,Long Beach (North),06-037-4002,AQS
10/31/2004,11,,Lancaster-Division Street,06-037-9033,AQS
11/1/2004,14,,Lancaster-Division Street,06-037-9033,AQS
11/2/2004,16,,Lancaster-Division Street,06-037-9033,AQS
11/3/2004,19,,Lancaster-Division Street,06-037-9033,AQS
11/4/2004,16,,Lancaster-Division Street,06-037-9033,AQS
11/5/2004,41,,Long Beach (South),06-037-4004,AQS
11/6/2004,19,,Lancaster-Division Street,06-037-9033,AQS
11/7/2004,17,,Lancaster-Division Street,06-037-9033,AQS
11/8/2004,10,,Lancaster-Division Street,06-037-9033,AQS
11/9/2004,15,,Lancaster-Division Street,06-037-9033,AQS
11/10/2004,21,,Lancaster-Division Street,06-037-9033,AQS
11/11/2004,41,,Long Beach (South),06-037-4004,AQS
11/12/2004,12,,Lancaster-Division Street,06-037-9033,AQS
11/13/2004,10,,Lancaster-Division Street,06-037-9033,AQS
11/14/2004,15,,Burbank,06-037-1002,AQS
