PM10 AQI Value,Date,Month,City,ALAND,Total,TotalNotHi,White,Black,Native,Asian,NativePaci,OtherNotHi,Hispanic
18,2015-02-23,February,Long Beach,162110,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,63287,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,60809,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,46337,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,206371,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,0,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,197606,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,87621,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,564615,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,140244,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,123275,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,1125958,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,269587,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,401152,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,78972,1619012,731170,271473,207298,4556,191063,14076,83487,887842
18,2015-02-23,February,Long Beach,122705,1619012,731170,271473,207298,4556,191063,14076,83487,887842
